Datetime (UTC),Carbon intensity gCOâ‚‚eq/kWh (direct),Zone
2025-07-01 04:00:00,589,IN-WE
2025-07-01 05:00:00,590,IN-WE
2025-07-01 06:00:00,585,IN-WE
2025-07-01 07:00:00,584,IN-WE
2025-07-01 08:00:00,591,IN-WE
2025-07-01 09:00:00,594,IN-WE
2025-07-01 10:00:00,593,IN-WE
2025-07-01 11:00:00,589,IN-WE
2025-07-01 12:00:00,594,IN-WE
2025-07-01 13:00:00,617,IN-WE
2025-07-01 14:00:00,629,IN-WE
2025-07-01 15:00:00,627,IN-WE
2025-07-01 16:00:00,632,IN-WE
2025-07-01 17:00:00,635,IN-WE
2025-07-01 18:00:00,632,IN-WE
2025-07-01 19:00:00,628,IN-WE
2025-07-01 20:00:00,624,IN-WE
2025-07-01 21:00:00,621,IN-WE
2025-07-01 22:00:00,621,IN-WE
2025-07-01 23:00:00,625,IN-WE
2025-07-02 00:00:00,630,IN-WE
2025-07-02 01:00:00,616,IN-WE
2025-07-02 02:00:00,596,IN-WE
2025-07-02 03:00:00,595,IN-WE
2025-07-02 04:00:00,591,IN-WE
2025-07-02 05:00:00,593,IN-WE
2025-07-02 06:00:00,590,IN-WE
2025-07-02 07:00:00,587,IN-WE
2025-07-02 08:00:00,594,IN-WE
2025-07-02 09:00:00,598,IN-WE
2025-07-02 10:00:00,597,IN-WE
2025-07-02 11:00:00,592,IN-WE
2025-07-02 12:00:00,593,IN-WE
2025-07-02 13:00:00,619,IN-WE
2025-07-02 14:00:00,632,IN-WE
2025-07-02 15:00:00,630,IN-WE
2025-07-02 16:00:00,635,IN-WE
2025-07-02 17:00:00,639,IN-WE
2025-07-02 18:00:00,632,IN-WE
2025-07-02 19:00:00,628,IN-WE
2025-07-02 20:00:00,624,IN-WE
2025-07-02 21:00:00,622,IN-WE
2025-07-02 22:00:00,622,IN-WE
2025-07-02 23:00:00,627,IN-WE
2025-07-03 00:00:00,632,IN-WE
2025-07-03 01:00:00,617,IN-WE
2025-07-03 02:00:00,596,IN-WE
2025-07-03 03:00:00,595,IN-WE
2025-07-03 04:00:00,592,IN-WE
2025-07-03 05:00:00,593,IN-WE
2025-07-03 06:00:00,589,IN-WE
2025-07-03 11:00:00,583,IN-WE
2025-07-03 12:00:00,588,IN-WE
2025-07-03 13:00:00,613,IN-WE
2025-07-03 14:00:00,626,IN-WE
2025-07-03 15:00:00,623,IN-WE
2025-07-03 16:00:00,626,IN-WE
2025-07-03 17:00:00,629,IN-WE
2025-07-03 18:00:00,622,IN-WE
2025-07-03 19:00:00,618,IN-WE
2025-07-03 20:00:00,614,IN-WE
2025-07-03 21:00:00,612,IN-WE
2025-07-03 22:00:00,612,IN-WE
2025-07-03 23:00:00,617,IN-WE
2025-07-04 00:00:00,622,IN-WE
2025-07-04 01:00:00,607,IN-WE
2025-07-04 02:00:00,585,IN-WE
2025-07-04 03:00:00,583,IN-WE
2025-07-04 04:00:00,581,IN-WE
2025-07-04 05:00:00,582,IN-WE
2025-07-04 06:00:00,579,IN-WE
2025-07-04 07:00:00,577,IN-WE
2025-07-04 08:00:00,585,IN-WE
2025-07-04 09:00:00,589,IN-WE
2025-07-04 10:00:00,588,IN-WE
2025-07-04 11:00:00,587,IN-WE
2025-07-04 12:00:00,594,IN-WE
2025-07-04 13:00:00,618,IN-WE
2025-07-04 14:00:00,631,IN-WE
2025-07-04 15:00:00,628,IN-WE
2025-07-04 16:00:00,630,IN-WE
2025-07-04 17:00:00,631,IN-WE
2025-07-04 18:00:00,627,IN-WE
2025-07-04 19:00:00,621,IN-WE
2025-07-04 20:00:00,616,IN-WE
2025-07-04 21:00:00,612,IN-WE
2025-07-04 22:00:00,611,IN-WE
2025-07-04 23:00:00,615,IN-WE
2025-07-05 00:00:00,616,IN-WE
2025-07-05 01:00:00,602,IN-WE
2025-07-05 02:00:00,579,IN-WE
2025-07-05 03:00:00,577,IN-WE
2025-07-05 04:00:00,574,IN-WE
2025-07-05 05:00:00,576,IN-WE
2025-07-05 06:00:00,575,IN-WE
2025-07-05 07:00:00,573,IN-WE
2025-07-05 14:00:00,610,IN-WE
2025-07-05 15:00:00,607,IN-WE
2025-07-05 16:00:00,611,IN-WE
2025-07-05 17:00:00,615,IN-WE
2025-07-05 18:00:00,610,IN-WE
2025-07-05 19:00:00,606,IN-WE
2025-07-05 20:00:00,601,IN-WE
2025-07-05 21:00:00,597,IN-WE
2025-07-05 22:00:00,597,IN-WE
2025-07-05 23:00:00,602,IN-WE
2025-07-06 00:00:00,603,IN-WE
2025-07-06 01:00:00,589,IN-WE
2025-07-06 02:00:00,566,IN-WE
2025-07-06 03:00:00,564,IN-WE
2025-07-06 04:00:00,561,IN-WE
2025-07-06 05:00:00,562,IN-WE
2025-07-06 06:00:00,559,IN-WE
2025-07-06 07:00:00,557,IN-WE
2025-07-06 08:00:00,565,IN-WE
2025-07-06 09:00:00,570,IN-WE
2025-07-06 10:00:00,569,IN-WE
2025-07-06 11:00:00,565,IN-WE
2025-07-06 12:00:00,564,IN-WE
2025-07-06 13:00:00,589,IN-WE
2025-07-26 03:00:00,564,IN-WE
2025-07-26 04:00:00,563,IN-WE
2025-07-26 05:00:00,558,IN-WE
2025-07-26 06:00:00,549,IN-WE
2025-07-26 07:00:00,545,IN-WE
2025-07-26 08:00:00,549,IN-WE
2025-07-26 09:00:00,554,IN-WE
2025-07-26 10:00:00,555,IN-WE
2025-07-26 11:00:00,551,IN-WE
2025-07-26 12:00:00,557,IN-WE
2025-07-26 13:00:00,576,IN-WE
2025-07-26 14:00:00,580,IN-WE
2025-07-26 15:00:00,574,IN-WE
2025-07-26 16:00:00,578,IN-WE
2025-07-26 17:00:00,579,IN-WE
2025-07-26 18:00:00,577,IN-WE
2025-07-26 19:00:00,573,IN-WE
2025-07-26 20:00:00,570,IN-WE
2025-07-26 21:00:00,569,IN-WE
2025-07-26 22:00:00,570,IN-WE
2025-07-26 23:00:00,578,IN-WE
2025-07-27 00:00:00,588,IN-WE
2025-07-27 01:00:00,588,IN-WE
2025-07-27 02:00:00,571,IN-WE
2025-07-27 03:00:00,569,IN-WE
2025-07-27 04:00:00,567,IN-WE
